open,high,low,close,date
296.70,300.00,259.00,278.20,2015-03-02T00:00:00
277.90,278.90,241.90,256.30,2015-04-01T00:00:00
254.00,280.60,231.90,274.10,2015-05-01T00:00:00
273.10,302.40,263.50,288.30,2015-06-01T00:00:00
289.00,298.80,250.50,252.10,2015-07-01T00:00:00
252.50,264.50,231.80,234.20,2015-08-03T00:00:00
233.00,255.00,214.40,229.20,2015-09-01T00:00:00
226.30,265.00,218.50,253.70,2015-10-01T00:00:00
253.70,258.70,237.00,245.80,2015-11-02T00:00:00
246.80,271.50,240.60,257.60,2015-12-01T00:00:00
256.20,259.40,232.50,240.40,2016-01-04T00:00:00
241.90,266.80,238.70,254.00,2016-02-01T00:00:00
254.90,319.00,252.00,310.70,2016-03-01T00:00:00
306.40,307.50,274.30,295.60,2016-04-01T00:00:00
296.80,328.30,284.10,303.40,2016-05-02T00:00:00
300.60,311.30,291.20,303.90,2016-06-01T00:00:00
308.70,338.70,306.30,318.40,2016-07-01T00:00:00
318.00,336.70,311.20,312.70,2016-08-01T00:00:00
313.40,340.10,297.00,336.40,2016-09-01T00:00:00
336.70,345.70,296.90,298.20,2016-10-03T00:00:00
296.50,344.40,286.90,329.80,2016-11-01T00:00:00
330.80,338.30,303.10,316.60,2016-12-01T00:00:00
315.00,339.00,303.10,330.00,2017-01-03T00:00:00
332.00,381.70,332.00,366.40,2017-02-01T00:00:00
364.00,383.90,340.20,381.40,2017-03-01T00:00:00
376.90,414.60,369.80,379.80,2017-04-03T00:00:00
382.00,393.30,340.30,345.10,2017-05-01T00:00:00
351.00,372.60,349.90,365.90,2017-06-01T00:00:00
365.60,403.00,359.60,378.30,2017-07-03T00:00:00
379.60,388.10,360.40,385.70,2017-08-01T00:00:00
387.40,411.70,373.60,402.20,2017-09-01T00:00:00
402.20,458.40,402.20,458.40,2017-10-02T00:00:00
463.90,500.00,411.20,427.70,2017-11-01T00:00:00
432.30,455.40,417.20,448.00,2017-12-01T00:00:00
449.00,501.40,449.00,470.90,2018-01-02T00:00:00
474.20,532.60,472.90,516.60,2018-02-01T00:00:00
516.60,530.00,480.70,515.70,2018-03-01T00:00:00
518.00,580.00,512.00,577.20,2018-04-02T00:00:00
577.20,659.00,577.20,597.10,2018-05-01T00:00:00
604.80,606.10,510.20,569.30,2018-06-01T00:00:00
577.40,588.00,440.00,455.40,2018-07-02T00:00:00
455.40,486.80,404.00,437.60,2018-08-01T00:00:00
435.50,455.20,330.60,344.40,2018-09-04T00:00:00
343.10,372.00,299.90,311.50,2018-10-01T00:00:00
320.50,371.00,304.70,323.90,2018-11-01T00:00:00
337.20,340.30,315.20,332.50,2018-12-03T00:00:00
331.50,428.00,321.30,416.20,2019-01-02T00:00:00
